"","X","Player","Team","Time","teams","score","fullmatch","match","date","venue","attendance","Timen"
"34",34,"Maxi RODRIGUEZ ","ARG"," 6'","Argentina - Serbia and Montenegro","6:0 (3:0)","MatchDateTimeVenue / StadiumAttendance2116 June 2006 15:00Gelsenkirchen  / FIFA World Cup Stadium, Gelsenkirchen52000",21,"16 June 2006",NA,"Gelsenkirchen  / FIFA World Cup Stadium, Gelsenkirchen52000",6
"35",35,"Esteban CAMBIASSO ","ARG"," 31'","Argentina - Serbia and Montenegro","6:0 (3:0)","MatchDateTimeVenue / StadiumAttendance2116 June 2006 15:00Gelsenkirchen  / FIFA World Cup Stadium, Gelsenkirchen52000",21,"16 June 2006",NA,"Gelsenkirchen  / FIFA World Cup Stadium, Gelsenkirchen52000",31
"36",36,"Maxi RODRIGUEZ ","ARG"," 41'","Argentina - Serbia and Montenegro","6:0 (3:0)","MatchDateTimeVenue / StadiumAttendance2116 June 2006 15:00Gelsenkirchen  / FIFA World Cup Stadium, Gelsenkirchen52000",21,"16 June 2006",NA,"Gelsenkirchen  / FIFA World Cup Stadium, Gelsenkirchen52000",41
"37",37,"Hernan CRESPO ","ARG"," 78'","Argentina - Serbia and Montenegro","6:0 (3:0)","MatchDateTimeVenue / StadiumAttendance2116 June 2006 15:00Gelsenkirchen  / FIFA World Cup Stadium, Gelsenkirchen52000",21,"16 June 2006",NA,"Gelsenkirchen  / FIFA World Cup Stadium, Gelsenkirchen52000",78
"38",38,"Carlos TEVEZ ","ARG"," 84'","Argentina - Serbia and Montenegro","6:0 (3:0)","MatchDateTimeVenue / StadiumAttendance2116 June 2006 15:00Gelsenkirchen  / FIFA World Cup Stadium, Gelsenkirchen52000",21,"16 June 2006",NA,"Gelsenkirchen  / FIFA World Cup Stadium, Gelsenkirchen52000",84
"39",39,"Lionel MESSI ","ARG"," 88'","Argentina - Serbia and Montenegro","6:0 (3:0)","MatchDateTimeVenue / StadiumAttendance2116 June 2006 15:00Gelsenkirchen  / FIFA World Cup Stadium, Gelsenkirchen52000",21,"16 June 2006",NA,"Gelsenkirchen  / FIFA World Cup Stadium, Gelsenkirchen52000",88
"55",55,"Alberto GILARDINO ","ITA"," 22'","Italy - USA","1:1 (1:1)","MatchDateTimeVenue / StadiumAttendance2517 June 2006 21:00Kaiserslautern  / Fritz-Walter-Stadion46000",25,"17 June 2006",NA,"Kaiserslautern  / Fritz-Walter-Stadion46000",22
"56",56,"Cristian ZACCARDO ","ITA"," 27' Own goal","Italy - USA","1:1 (1:1)","MatchDateTimeVenue / StadiumAttendance2517 June 2006 21:00Kaiserslautern  / Fritz-Walter-Stadion46000",25,"17 June 2006",NA,"Kaiserslautern  / Fritz-Walter-Stadion46000",27
"62",62,"Andrea PIRLO ","ITA"," 40'","Italy - Ghana","2:0 (1:0)","MatchDateTimeVenue / StadiumAttendance912 June 2006 21:00Hanover  / FIFA World Cup Stadium, Hanover43000",9,"2 June 2006",NA,"Hanover  / FIFA World Cup Stadium, Hanover43000",40
"63",63,"Vincenzo IAQUINTA ","ITA"," 83'","Italy - Ghana","2:0 (1:0)","MatchDateTimeVenue / StadiumAttendance912 June 2006 21:00Hanover  / FIFA World Cup Stadium, Hanover43000",9,"2 June 2006",NA,"Hanover  / FIFA World Cup Stadium, Hanover43000",83
"67",67,"Alberto GILARDINO ","ITA"," 22'","Italy - USA","1:1 (1:1)","MatchDateTimeVenue / StadiumAttendance2517 June 2006 21:00Kaiserslautern  / Fritz-Walter-Stadion46000",25,"17 June 2006",NA,"Kaiserslautern  / Fritz-Walter-Stadion46000",22
"68",68,"Cristian ZACCARDO ","ITA"," 27' Own goal","Italy - USA","1:1 (1:1)","MatchDateTimeVenue / StadiumAttendance2517 June 2006 21:00Kaiserslautern  / Fritz-Walter-Stadion46000",25,"17 June 2006",NA,"Kaiserslautern  / Fritz-Walter-Stadion46000",27
"71",71,"Marco MATERAZZI ","ITA"," 26'","Czech Republic - Italy","0:2 (0:1)","MatchDateTimeVenue / StadiumAttendance4122 June 2006 16:00Hamburg  / FIFA World Cup Stadium, Hamburg50000",41,"22 June 2006",NA,"Hamburg  / FIFA World Cup Stadium, Hamburg50000",26
"72",72,"Filippo INZAGHI ","ITA"," 87'","Czech Republic - Italy","0:2 (0:1)","MatchDateTimeVenue / StadiumAttendance4122 June 2006 16:00Hamburg  / FIFA World Cup Stadium, Hamburg50000",41,"22 June 2006",NA,"Hamburg  / FIFA World Cup Stadium, Hamburg50000",87
"76",76,"KAKA ","BRA"," 44'","Brazil - Croatia","1:0 (1:0)","MatchDateTimeVenue / StadiumAttendance1113 June 2006 21:00Berlin  / Olympiastadion72000",11,"13 June 2006",NA,"Berlin  / Olympiastadion72000",44
"81",81,"ADRIANO ","BRA"," 49'","Brazil - Australia","2:0 (0:0)","MatchDateTimeVenue / StadiumAttendance2718 June 2006 18:00Munich  / Allianz Arena66000",27,"18 June 2006",NA,"Munich  / Allianz Arena66000",49
"82",82,"FRED ","BRA"," 90'","Brazil - Australia","2:0 (0:0)","MatchDateTimeVenue / StadiumAttendance2718 June 2006 18:00Munich  / Allianz Arena66000",27,"18 June 2006",NA,"Munich  / Allianz Arena66000",90
"85",85,"RONALDO ","BRA"," 45'+1","Japan - Brazil","1:4 (1:1)","MatchDateTimeVenue / StadiumAttendance4322 June 2006 21:00Dortmund  / FIFA World Cup Stadium, Dortmund65000",43,"22 June 2006",NA,"Dortmund  / FIFA World Cup Stadium, Dortmund65000",45
"86",86,"JUNINHO PERNAMBUCANO ","BRA"," 53'","Japan - Brazil","1:4 (1:1)","MatchDateTimeVenue / StadiumAttendance4322 June 2006 21:00Dortmund  / FIFA World Cup Stadium, Dortmund65000",43,"22 June 2006",NA,"Dortmund  / FIFA World Cup Stadium, Dortmund65000",53
"87",87,"GILBERTO MELO ","BRA"," 59'","Japan - Brazil","1:4 (1:1)","MatchDateTimeVenue / StadiumAttendance4322 June 2006 21:00Dortmund  / FIFA World Cup Stadium, Dortmund65000",43,"22 June 2006",NA,"Dortmund  / FIFA World Cup Stadium, Dortmund65000",59
"88",88,"RONALDO ","BRA"," 81'","Japan - Brazil","1:4 (1:1)","MatchDateTimeVenue / StadiumAttendance4322 June 2006 21:00Dortmund  / FIFA World Cup Stadium, Dortmund65000",43,"22 June 2006",NA,"Dortmund  / FIFA World Cup Stadium, Dortmund65000",81
"105",105,"XABI ALONSO ","ESP"," 13'","Spain - Ukraine","4:0 (2:0)","MatchDateTimeVenue / StadiumAttendance1514 June 2006 15:00Leipzig  / Red Bull Arena43000",15,"14 June 2006",NA,"Leipzig  / Red Bull Arena43000",13
"106",106,"David VILLA ","ESP"," 17'","Spain - Ukraine","4:0 (2:0)","MatchDateTimeVenue / StadiumAttendance1514 June 2006 15:00Leipzig  / Red Bull Arena43000",15,"14 June 2006",NA,"Leipzig  / Red Bull Arena43000",17
"107",107,"David VILLA ","ESP"," 48' Penalty goal","Spain - Ukraine","4:0 (2:0)","MatchDateTimeVenue / StadiumAttendance1514 June 2006 15:00Leipzig  / Red Bull Arena43000",15,"14 June 2006",NA,"Leipzig  / Red Bull Arena43000",48
"108",108,"Fernando TORRES ","ESP"," 81'","Spain - Ukraine","4:0 (2:0)","MatchDateTimeVenue / StadiumAttendance1514 June 2006 15:00Leipzig  / Red Bull Arena43000",15,"14 June 2006",NA,"Leipzig  / Red Bull Arena43000",81
"114",114,"RAUL ","ESP"," 71'","Spain - Tunisia","3:1 (0:1)","MatchDateTimeVenue / StadiumAttendance3119 June 2006 21:00Stuttgart  / Mercedes-Benz Arena52000",31,"19 June 2006",NA,"Stuttgart  / Mercedes-Benz Arena52000",71
"115",115,"Fernando TORRES ","ESP"," 76'","Spain - Tunisia","3:1 (0:1)","MatchDateTimeVenue / StadiumAttendance3119 June 2006 21:00Stuttgart  / Mercedes-Benz Arena52000",31,"19 June 2006",NA,"Stuttgart  / Mercedes-Benz Arena52000",76
"116",116,"Fernando TORRES ","ESP"," 90'+1 Penalty goal","Spain - Tunisia","3:1 (0:1)","MatchDateTimeVenue / StadiumAttendance3119 June 2006 21:00Stuttgart  / Mercedes-Benz Arena52000",31,"19 June 2006",NA,"Stuttgart  / Mercedes-Benz Arena52000",90
"121",121,"JUANITO ","ESP"," 36'","Saudi Arabia - Spain","0:1 (0:1)","MatchDateTimeVenue / StadiumAttendance4723 June 2006 16:00Kaiserslautern  / Fritz-Walter-Stadion46000",47,"23 June 2006",NA,"Kaiserslautern  / Fritz-Walter-Stadion46000",36
"123",123,"Lukas PODOLSKI ","GER"," 4'","Germany - Sweden","2:0 (2:0)","MatchDateTimeVenue / StadiumAttendance4924 June 2006 17:00Munich  / Allianz Arena66000",49,"24 June 2006",NA,"Munich  / Allianz Arena66000",4
"124",124,"Lukas PODOLSKI ","GER"," 12'","Germany - Sweden","2:0 (2:0)","MatchDateTimeVenue / StadiumAttendance4924 June 2006 17:00Munich  / Allianz Arena66000",49,"24 June 2006",NA,"Munich  / Allianz Arena66000",12
"126",126,"Hernan CRESPO ","ARG"," 10'","Argentina - Mexico","2:1 a.e.t. (1:1, 1:1)","MatchDateTimeVenue / StadiumAttendance5024 June 2006 21:00Leipzig  / Red Bull Arena43000",50,"24 June 2006",NA,"Leipzig  / Red Bull Arena43000",10
"127",127,"Maxi RODRIGUEZ ","ARG"," 98'","Argentina - Mexico","2:1 a.e.t. (1:1, 1:1)","MatchDateTimeVenue / StadiumAttendance5024 June 2006 21:00Leipzig  / Red Bull Arena43000",50,"24 June 2006",NA,"Leipzig  / Red Bull Arena43000",98
"130",130,"Francesco TOTTI ","ITA"," 90'+5 Penalty goal","Italy - Australia","1:0 (0:0)","MatchDateTimeVenue / StadiumAttendance5326 June 2006 17:00Kaiserslautern  / Fritz-Walter-Stadion46000",53,"26 June 2006",NA,"Kaiserslautern  / Fritz-Walter-Stadion46000",90
"132",132,"RONALDO ","BRA"," 5'","Brazil - Ghana","3:0 (2:0)","MatchDateTimeVenue / StadiumAttendance5527 June 2006 17:00Dortmund  / FIFA World Cup Stadium, Dortmund65000",55,"27 June 2006",NA,"Dortmund  / FIFA World Cup Stadium, Dortmund65000",5
"133",133,"ADRIANO ","BRA"," 45'+1","Brazil - Ghana","3:0 (2:0)","MatchDateTimeVenue / StadiumAttendance5527 June 2006 17:00Dortmund  / FIFA World Cup Stadium, Dortmund65000",55,"27 June 2006",NA,"Dortmund  / FIFA World Cup Stadium, Dortmund65000",45
"134",134,"ZE ROBERTO ","BRA"," 84'","Brazil - Ghana","3:0 (2:0)","MatchDateTimeVenue / StadiumAttendance5527 June 2006 17:00Dortmund  / FIFA World Cup Stadium, Dortmund65000",55,"27 June 2006",NA,"Dortmund  / FIFA World Cup Stadium, Dortmund65000",84
"135",135,"Roberto AYALA ","ARG"," 49'","Germany - Argentina","1:1 a.e.t. (1:1, 0:0) 4:2 PSO","MatchDateTimeVenue / StadiumAttendance5730 June 2006 17:00Berlin  / Olympiastadion72000",57,"30 June 2006",NA,"Berlin  / Olympiastadion72000",49
"136",136,"Miroslav KLOSE ","GER"," 80'","Germany - Argentina","1:1 a.e.t. (1:1, 0:0) 4:2 PSO","MatchDateTimeVenue / StadiumAttendance5730 June 2006 17:00Berlin  / Olympiastadion72000",57,"30 June 2006",NA,"Berlin  / Olympiastadion72000",80
"137",137,"Gianluca ZAMBROTTA ","ITA"," 6'","Italy - Ukraine","3:0 (1:0)","MatchDateTimeVenue / StadiumAttendance5830 June 2006 21:00Hamburg  / FIFA World Cup Stadium, Hamburg50000",58,"30 June 2006",NA,"Hamburg  / FIFA World Cup Stadium, Hamburg50000",6
"138",138,"Luca TONI ","ITA"," 59'","Italy - Ukraine","3:0 (1:0)","MatchDateTimeVenue / StadiumAttendance5830 June 2006 21:00Hamburg  / FIFA World Cup Stadium, Hamburg50000",58,"30 June 2006",NA,"Hamburg  / FIFA World Cup Stadium, Hamburg50000",59
"139",139,"Luca TONI ","ITA"," 69'","Italy - Ukraine","3:0 (1:0)","MatchDateTimeVenue / StadiumAttendance5830 June 2006 21:00Hamburg  / FIFA World Cup Stadium, Hamburg50000",58,"30 June 2006",NA,"Hamburg  / FIFA World Cup Stadium, Hamburg50000",69
"142",142,"Fabio GROSSO ","ITA"," 119'","Germany - Italy","0:2 a.e.t.","MatchDateTimeVenue / StadiumAttendance6104 July 2006 21:00Dortmund  / FIFA World Cup Stadium, Dortmund65000",61,"04 July 2006",NA,"Dortmund  / FIFA World Cup Stadium, Dortmund65000",119
"143",143,"Alessandro DEL PIERO ","ITA"," 121'","Germany - Italy","0:2 a.e.t.","MatchDateTimeVenue / StadiumAttendance6104 July 2006 21:00Dortmund  / FIFA World Cup Stadium, Dortmund65000",61,"04 July 2006",NA,"Dortmund  / FIFA World Cup Stadium, Dortmund65000",121
"146",146,"Marco MATERAZZI ","ITA"," 19'","Italy - France","1:1 a.e.t. (1:1, 1:1) 5:3 PSO","MatchDateTimeVenue / StadiumAttendance6409 July 2006 20:00Berlin  / Olympiastadion69000",64,"09 July 2006",NA,"Berlin  / Olympiastadion69000",19
"147",147,"Bastian SCHWEINSTEIGER ","GER"," 56'","Germany - Portugal","3:1 (0:0)","MatchDateTimeVenue / StadiumAttendance6308 July 2006 21:00Stuttgart  / Mercedes-Benz Arena52000",63,"08 July 2006",NA,"Stuttgart  / Mercedes-Benz Arena52000",56
"149",149,"Bastian SCHWEINSTEIGER ","GER"," 78'","Germany - Portugal","3:1 (0:0)","MatchDateTimeVenue / StadiumAttendance6308 July 2006 21:00Stuttgart  / Mercedes-Benz Arena52000",63,"08 July 2006",NA,"Stuttgart  / Mercedes-Benz Arena52000",78
