"","Player","Team","Time","teams","score","fullmatch","match","date","venue","attendance"
"101",NA,NA,NA,"Togo - France","0:2 (0:0)","MatchDateTimeVenue / StadiumAttendance4523 June 2006 21:00Cologne  / FIFA World Cup Stadium, Cologne45000","45","23 June 2006"," ","Cologne  / FIFA World Cup Stadium, Cologne45000"
"102",NA,NA,NA,"Togo - France","0:2 (0:0)","MatchDateTimeVenue / StadiumAttendance4523 June 2006 21:00Cologne  / FIFA World Cup Stadium, Cologne45000","45","23 June 2006"," ","Cologne  / FIFA World Cup Stadium, Cologne45000"
"103",NA,NA,NA,"Switzerland - Korea Republic","2:0 (1:0)","MatchDateTimeVenue / StadiumAttendance4623 June 2006 21:00Hanover  / FIFA World Cup Stadium, Hanover43000","46","23 June 2006"," ","Hanover  / FIFA World Cup Stadium, Hanover43000"
"104",NA,NA,NA,"Switzerland - Korea Republic","2:0 (1:0)","MatchDateTimeVenue / StadiumAttendance4623 June 2006 21:00Hanover  / FIFA World Cup Stadium, Hanover43000","46","23 June 2006"," ","Hanover  / FIFA World Cup Stadium, Hanover43000"
"105","XABI ALONSO ","ESP"," 13'","Spain - Ukraine","4:0 (2:0)","MatchDateTimeVenue / StadiumAttendance1514 June 2006 15:00Leipzig  / Red Bull Arena43000","15","14 June 2006"," ","Leipzig  / Red Bull Arena43000"
"106","David VILLA ","ESP"," 17'","Spain - Ukraine","4:0 (2:0)","MatchDateTimeVenue / StadiumAttendance1514 June 2006 15:00Leipzig  / Red Bull Arena43000","15","14 June 2006"," ","Leipzig  / Red Bull Arena43000"
"107","David VILLA ","ESP"," 48' Penalty goal","Spain - Ukraine","4:0 (2:0)","MatchDateTimeVenue / StadiumAttendance1514 June 2006 15:00Leipzig  / Red Bull Arena43000","15","14 June 2006"," ","Leipzig  / Red Bull Arena43000"
"108","Fernando TORRES ","ESP"," 81'","Spain - Ukraine","4:0 (2:0)","MatchDateTimeVenue / StadiumAttendance1514 June 2006 15:00Leipzig  / Red Bull Arena43000","15","14 June 2006"," ","Leipzig  / Red Bull Arena43000"
"109","Zied JAZIRI ","TUN"," 23'","Tunisia - Saudi Arabia","2:2 (1:0)","MatchDateTimeVenue / StadiumAttendance1614 June 2006 18:00Munich  / Allianz Arena66000","16","14 June 2006"," ","Munich  / Allianz Arena66000"
"110","Yasser AL KAHTANI ","KSA"," 57'","Tunisia - Saudi Arabia","2:2 (1:0)","MatchDateTimeVenue / StadiumAttendance1614 June 2006 18:00Munich  / Allianz Arena66000","16","14 June 2006"," ","Munich  / Allianz Arena66000"
"111","Sami AL JABER ","KSA"," 84'","Tunisia - Saudi Arabia","2:2 (1:0)","MatchDateTimeVenue / StadiumAttendance1614 June 2006 18:00Munich  / Allianz Arena66000","16","14 June 2006"," ","Munich  / Allianz Arena66000"
"112","Radhi JAIDI ","TUN"," 90'+2","Tunisia - Saudi Arabia","2:2 (1:0)","MatchDateTimeVenue / StadiumAttendance1614 June 2006 18:00Munich  / Allianz Arena66000","16","14 June 2006"," ","Munich  / Allianz Arena66000"
"113","Jaouhar MNARI ","TUN"," 8'","Spain - Tunisia","3:1 (0:1)","MatchDateTimeVenue / StadiumAttendance3119 June 2006 21:00Stuttgart  / Mercedes-Benz Arena52000","31","19 June 2006"," ","Stuttgart  / Mercedes-Benz Arena52000"
"114","RAUL ","ESP"," 71'","Spain - Tunisia","3:1 (0:1)","MatchDateTimeVenue / StadiumAttendance3119 June 2006 21:00Stuttgart  / Mercedes-Benz Arena52000","31","19 June 2006"," ","Stuttgart  / Mercedes-Benz Arena52000"
"115","Fernando TORRES ","ESP"," 76'","Spain - Tunisia","3:1 (0:1)","MatchDateTimeVenue / StadiumAttendance3119 June 2006 21:00Stuttgart  / Mercedes-Benz Arena52000","31","19 June 2006"," ","Stuttgart  / Mercedes-Benz Arena52000"
"116","Fernando TORRES ","ESP"," 90'+1 Penalty goal","Spain - Tunisia","3:1 (0:1)","MatchDateTimeVenue / StadiumAttendance3119 June 2006 21:00Stuttgart  / Mercedes-Benz Arena52000","31","19 June 2006"," ","Stuttgart  / Mercedes-Benz Arena52000"
"117","Andriy RUSOL ","UKR"," 4'","Saudi Arabia - Ukraine","0:4 (0:2)","MatchDateTimeVenue / StadiumAttendance3219 June 2006 18:00Hamburg  / FIFA World Cup Stadium, Hamburg50000","32","19 June 2006"," ","Hamburg  / FIFA World Cup Stadium, Hamburg50000"
"118","Serhiy REBROV ","UKR"," 36'","Saudi Arabia - Ukraine","0:4 (0:2)","MatchDateTimeVenue / StadiumAttendance3219 June 2006 18:00Hamburg  / FIFA World Cup Stadium, Hamburg50000","32","19 June 2006"," ","Hamburg  / FIFA World Cup Stadium, Hamburg50000"
"119","Andriy SHEVCHENKO ","UKR"," 46'","Saudi Arabia - Ukraine","0:4 (0:2)","MatchDateTimeVenue / StadiumAttendance3219 June 2006 18:00Hamburg  / FIFA World Cup Stadium, Hamburg50000","32","19 June 2006"," ","Hamburg  / FIFA World Cup Stadium, Hamburg50000"
"120","Maksym KALINICHENKO ","UKR"," 84'","Saudi Arabia - Ukraine","0:4 (0:2)","MatchDateTimeVenue / StadiumAttendance3219 June 2006 18:00Hamburg  / FIFA World Cup Stadium, Hamburg50000","32","19 June 2006"," ","Hamburg  / FIFA World Cup Stadium, Hamburg50000"
"121","JUANITO ","ESP"," 36'","Saudi Arabia - Spain","0:1 (0:1)","MatchDateTimeVenue / StadiumAttendance4723 June 2006 16:00Kaiserslautern  / Fritz-Walter-Stadion46000","47","23 June 2006"," ","Kaiserslautern  / Fritz-Walter-Stadion46000"
"122","Andriy SHEVCHENKO ","UKR"," 70' Penalty goal","Ukraine - Tunisia","1:0 (0:0)","MatchDateTimeVenue / StadiumAttendance4823 June 2006 16:00Berlin  / Olympiastadion72000","48","23 June 2006"," ","Berlin  / Olympiastadion72000"
"123","Lukas PODOLSKI ","GER"," 4'","Germany - Sweden","2:0 (2:0)","MatchDateTimeVenue / StadiumAttendance4924 June 2006 17:00Munich  / Allianz Arena66000","49","24 June 2006"," ","Munich  / Allianz Arena66000"
"124","Lukas PODOLSKI ","GER"," 12'","Germany - Sweden","2:0 (2:0)","MatchDateTimeVenue / StadiumAttendance4924 June 2006 17:00Munich  / Allianz Arena66000","49","24 June 2006"," ","Munich  / Allianz Arena66000"
"125","Rafael MARQUEZ ","MEX"," 6'","Argentina - Mexico","2:1 a.e.t. (1:1, 1:1)","MatchDateTimeVenue / StadiumAttendance5024 June 2006 21:00Leipzig  / Red Bull Arena43000","50","24 June 2006"," ","Leipzig  / Red Bull Arena43000"
"126","Hernan CRESPO ","ARG"," 10'","Argentina - Mexico","2:1 a.e.t. (1:1, 1:1)","MatchDateTimeVenue / StadiumAttendance5024 June 2006 21:00Leipzig  / Red Bull Arena43000","50","24 June 2006"," ","Leipzig  / Red Bull Arena43000"
"127","Maxi RODRIGUEZ ","ARG"," 98'","Argentina - Mexico","2:1 a.e.t. (1:1, 1:1)","MatchDateTimeVenue / StadiumAttendance5024 June 2006 21:00Leipzig  / Red Bull Arena43000","50","24 June 2006"," ","Leipzig  / Red Bull Arena43000"
"128","David BECKHAM ","ENG"," 60'","England - Ecuador","1:0 (0:0)","MatchDateTimeVenue / StadiumAttendance5125 June 2006 17:00Stuttgart  / Mercedes-Benz Arena52000","51","25 June 2006"," ","Stuttgart  / Mercedes-Benz Arena52000"
"129","MANICHE ","POR"," 23'","Portugal - Netherlands","1:0 (1:0)","MatchDateTimeVenue / StadiumAttendance5225 June 2006 21:00Nuremberg  / easyCredit-Stadion41000","52","25 June 2006"," ","Nuremberg  / easyCredit-Stadion41000"
"130","Francesco TOTTI ","ITA"," 90'+5 Penalty goal","Italy - Australia","1:0 (0:0)","MatchDateTimeVenue / StadiumAttendance5326 June 2006 17:00Kaiserslautern  / Fritz-Walter-Stadion46000","53","26 June 2006"," ","Kaiserslautern  / Fritz-Walter-Stadion46000"
"131",NA,NA,NA,"Switzerland - Ukraine","0:0 a.e.t. 0:3 PSO","MatchDateTimeVenue / StadiumAttendance5426 June 2006 21:00Cologne  / FIFA World Cup Stadium, Cologne45000","54","26 June 2006"," ","Cologne  / FIFA World Cup Stadium, Cologne45000"
"132","RONALDO ","BRA"," 5'","Brazil - Ghana","3:0 (2:0)","MatchDateTimeVenue / StadiumAttendance5527 June 2006 17:00Dortmund  / FIFA World Cup Stadium, Dortmund65000","55","27 June 2006"," ","Dortmund  / FIFA World Cup Stadium, Dortmund65000"
"133","ADRIANO ","BRA"," 45'+1","Brazil - Ghana","3:0 (2:0)","MatchDateTimeVenue / StadiumAttendance5527 June 2006 17:00Dortmund  / FIFA World Cup Stadium, Dortmund65000","55","27 June 2006"," ","Dortmund  / FIFA World Cup Stadium, Dortmund65000"
"134","ZE ROBERTO ","BRA"," 84'","Brazil - Ghana","3:0 (2:0)","MatchDateTimeVenue / StadiumAttendance5527 June 2006 17:00Dortmund  / FIFA World Cup Stadium, Dortmund65000","55","27 June 2006"," ","Dortmund  / FIFA World Cup Stadium, Dortmund65000"
"135","Roberto AYALA ","ARG"," 49'","Germany - Argentina","1:1 a.e.t. (1:1, 0:0) 4:2 PSO","MatchDateTimeVenue / StadiumAttendance5730 June 2006 17:00Berlin  / Olympiastadion72000","57","30 June 2006"," ","Berlin  / Olympiastadion72000"
"136","Miroslav KLOSE ","GER"," 80'","Germany - Argentina","1:1 a.e.t. (1:1, 0:0) 4:2 PSO","MatchDateTimeVenue / StadiumAttendance5730 June 2006 17:00Berlin  / Olympiastadion72000","57","30 June 2006"," ","Berlin  / Olympiastadion72000"
"137","Gianluca ZAMBROTTA ","ITA"," 6'","Italy - Ukraine","3:0 (1:0)","MatchDateTimeVenue / StadiumAttendance5830 June 2006 21:00Hamburg  / FIFA World Cup Stadium, Hamburg50000","58","30 June 2006"," ","Hamburg  / FIFA World Cup Stadium, Hamburg50000"
"138","Luca TONI ","ITA"," 59'","Italy - Ukraine","3:0 (1:0)","MatchDateTimeVenue / StadiumAttendance5830 June 2006 21:00Hamburg  / FIFA World Cup Stadium, Hamburg50000","58","30 June 2006"," ","Hamburg  / FIFA World Cup Stadium, Hamburg50000"
"139","Luca TONI ","ITA"," 69'","Italy - Ukraine","3:0 (1:0)","MatchDateTimeVenue / StadiumAttendance5830 June 2006 21:00Hamburg  / FIFA World Cup Stadium, Hamburg50000","58","30 June 2006"," ","Hamburg  / FIFA World Cup Stadium, Hamburg50000"
"140",NA,NA,NA,"England - Portugal","0:0 a.e.t. 1:3 PSO","MatchDateTimeVenue / StadiumAttendance5901 July 2006 17:00Gelsenkirchen  / FIFA World Cup Stadium, Gelsenkirchen52000","59","01 July 2006"," ","Gelsenkirchen  / FIFA World Cup Stadium, Gelsenkirchen52000"
"141","Thierry HENRY ","FRA"," 57'","Brazil - France","0:1 (0:0)","MatchDateTimeVenue / StadiumAttendance6001 July 2006 21:00Frankfurt/Main  / FIFA World Cup Stadium, Frankfurt48000","60","01 July 2006"," ","Frankfurt/Main  / FIFA World Cup Stadium, Frankfurt48000"
"142","Fabio GROSSO ","ITA"," 119'","Germany - Italy","0:2 a.e.t.","MatchDateTimeVenue / StadiumAttendance6104 July 2006 21:00Dortmund  / FIFA World Cup Stadium, Dortmund65000","61","04 July 2006"," ","Dortmund  / FIFA World Cup Stadium, Dortmund65000"
"143","Alessandro DEL PIERO ","ITA"," 121'","Germany - Italy","0:2 a.e.t.","MatchDateTimeVenue / StadiumAttendance6104 July 2006 21:00Dortmund  / FIFA World Cup Stadium, Dortmund65000","61","04 July 2006"," ","Dortmund  / FIFA World Cup Stadium, Dortmund65000"
"144","Zinedine ZIDANE ","FRA"," 33' Penalty goal","Portugal - France","0:1 (0:1)","MatchDateTimeVenue / StadiumAttendance6205 July 2006 21:00Munich  / Allianz Arena66000","62","05 July 2006"," ","Munich  / Allianz Arena66000"
"145","Zinedine ZIDANE ","FRA"," 7' Penalty goal","Italy - France","1:1 a.e.t. (1:1, 1:1) 5:3 PSO","MatchDateTimeVenue / StadiumAttendance6409 July 2006 20:00Berlin  / Olympiastadion69000","64","09 July 2006"," ","Berlin  / Olympiastadion69000"
"146","Marco MATERAZZI ","ITA"," 19'","Italy - France","1:1 a.e.t. (1:1, 1:1) 5:3 PSO","MatchDateTimeVenue / StadiumAttendance6409 July 2006 20:00Berlin  / Olympiastadion69000","64","09 July 2006"," ","Berlin  / Olympiastadion69000"
"147","Bastian SCHWEINSTEIGER ","GER"," 56'","Germany - Portugal","3:1 (0:0)","MatchDateTimeVenue / StadiumAttendance6308 July 2006 21:00Stuttgart  / Mercedes-Benz Arena52000","63","08 July 2006"," ","Stuttgart  / Mercedes-Benz Arena52000"
"148","PETIT ","POR"," 60' Own goal","Germany - Portugal","3:1 (0:0)","MatchDateTimeVenue / StadiumAttendance6308 July 2006 21:00Stuttgart  / Mercedes-Benz Arena52000","63","08 July 2006"," ","Stuttgart  / Mercedes-Benz Arena52000"
"149","Bastian SCHWEINSTEIGER ","GER"," 78'","Germany - Portugal","3:1 (0:0)","MatchDateTimeVenue / StadiumAttendance6308 July 2006 21:00Stuttgart  / Mercedes-Benz Arena52000","63","08 July 2006"," ","Stuttgart  / Mercedes-Benz Arena52000"
"150","NUNO GOMES ","POR"," 88'","Germany - Portugal","3:1 (0:0)","MatchDateTimeVenue / StadiumAttendance6308 July 2006 21:00Stuttgart  / Mercedes-Benz Arena52000","63","08 July 2006"," ","Stuttgart  / Mercedes-Benz Arena52000"
